央视频道,#genre#
CCTV1综合,http://39.134.24.24/PLTV/88888888/224/3221225684/index.m3u8
CCTV1综合,http://111.12.102.68:6610/PLTV/77777777/224/3221225674/index.m3u8?
CCTV1综合,http://39.134.24.21/PLTV/88888888/224/3221225829/index.m3u8
CCTV2财经,http://39.134.24.24/PLTV/88888888/224/3221225831/index.m3u8
CCTV2财经,http://39.134.24.24/PLTV/88888888/224/3221226023/index.m3u8
CCTC2财经,http://111.12.102.68:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV3综艺,http://223.110.243.197/PLTV/3/224/3221227623/index.m3u8
CCTV3综艺,http://111.12.102.68:6610/PLTV/77777777/224/3221225772/index.m3u8?
CCTV4中文国际,http://223.110.243.202/PLTV/3/224/3221225534/index.m3u8
CCTV4中文国际,http://111.12.102.68:6610/PLTV/77777777/224/3221225775/index.m3u8?
CCTV5体育,http://111.12.102.68:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV5体育,http://223.110.243.202/PLTV/3/224/3221227640/index.m3u8
CCTV5体育,http://39.134.24.24/PLTV/88888888/224/3221226025/index.m3u8
CCTV6电影,http://39.134.24.24/PLTV/88888888/224/3221226027/index.m3u8
CCTV6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6电影,http://183.207.248.6/PLTV/3/224/3221225548/index.m3u8?
CCTV7国防军事,http://223.110.243.211/PLTV/3/224/3221227626/index.m3u8
CCTV7国防军事,http://111.12.102.68:6610/PLTV/77777777/224/3221225700/index.m3u8?
CCTV8电视剧,http://39.134.24.24/PLTV/88888888/224/3221226029/index.m3u8
CCTV8电视剧,http://223.110.243.218/PLTV/3/224/3221227629/index.m3u8
CCTV8电视剧,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV9纪实频道,http://223.110.243.221/PLTV/3/224/3221227614/index.m3u8
CCTV9纪实频道,http://111.12.102.68:6610/PLTV/77777777/224/3221225663/index.m3u8?
CCTV10科教,http://223.110.243.213/PLTV/3/224/3221227620/index.m3u8
CCTV10科教,http://111.12.102.68:6610/PLTV/77777777/224/3221225704/index.m3u8?
CCTV11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225750/index.m3u8?
CCTV11戏曲,http://111.12.102.68:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV12社会与法,http://223.110.243.223/PLTV/3/224/3221227637/index.m3u8
CCTV12社会与法,http://111.12.102.68:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV13新闻,http://111.12.102.68:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV13新闻,http://223.110.243.203/PLTV/3/224/3221225560/index.m3u8
CCTV14少儿,http://111.12.102.68:6610/PLTV/77777777/224/3221225673/index.m3u8?
CCTV14少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV15音乐,http://111.12.102.68:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV15音乐,http://223.110.243.218/PLTV/3/224/3221227538/index.m3u8
CCTV17农业,http://111.12.102.68:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV17农业,http://223.110.243.223:80/PLTV/3/224/3221227592/index.m3u8
